Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (27180943),Luka Doncic,27180943,PG/G/UTIL,12000,CHA@DAL 03/24/2023 08:30PM ET,DAL,60.65
C,Joel Embiid (27180946),Joel Embiid,27180946,C/UTIL,11800,PHI@GSW 03/24/2023 10:00PM ET,PHI,57.54
PF/C,Giannis Antetokounmpo (27180948),Giannis Antetokounmpo,27180948,PF/C/F/UTIL,11500,MIL@UTA 03/24/2023 09:00PM ET,MIL,57.21
PG,Damian Lillard (27180952),Damian Lillard,27180952,PG/G/UTIL,11000,CHI@POR 03/24/2023 10:00PM ET,POR,52.45
SF/PF,Jayson Tatum (27180955),Jayson Tatum,27180955,SF/PF/F/UTIL,10700,IND@BOS 03/24/2023 07:00PM ET,BOS,52.65
C,Anthony Davis (27180959),Anthony Davis,27180959,C/UTIL,10500,OKC@LAL 03/24/2023 10:30PM ET,LAL,51.49
SF,LeBron James (27180961),LeBron James,27180961,SF/F/UTIL,10200,OKC@LAL 03/24/2023 10:30PM ET,LAL,53.52
C,Domantas Sabonis (27180964),Domantas Sabonis,27180964,C/UTIL,10100,PHX@SAC 03/24/2023 10:00PM ET,SAC,48.73
PG,Shai Gilgeous-Alexander (27180966),Shai Gilgeous-Alexander,27180966,PG/G/UTIL,10000,OKC@LAL 03/24/2023 10:30PM ET,OKC,50
PG/SG,Kyrie Irving (27180969),Kyrie Irving,27180969,PG/SG/G/UTIL,9900,CHA@DAL 03/24/2023 08:30PM ET,DAL,46.22
SF/PF,Kevin Durant (27180973),Kevin Durant,27180973,SF/PF/F/UTIL,9800,PHX@SAC 03/24/2023 10:00PM ET,PHX,49.68
PG,Stephen Curry (27180977),Stephen Curry,27180977,PG/G/UTIL,9700,PHI@GSW 03/24/2023 10:00PM ET,GSW,50.65
SG,Devin Booker (27180980),Devin Booker,27180980,SG/G/UTIL,9600,PHX@SAC 03/24/2023 10:00PM ET,PHX,44.41
PG,James Harden (27180983),James Harden,27180983,PG/G/UTIL,9500,PHI@GSW 03/24/2023 10:00PM ET,PHI,49.98
PG,Tyrese Haliburton (27180986),Tyrese Haliburton,27180986,PG/G/UTIL,9400,IND@BOS 03/24/2023 07:00PM ET,IND,46.24
PF/C,Pascal Siakam (27180989),Pascal Siakam,27180989,PF/C/F/UTIL,9300,DET@TOR 03/24/2023 07:30PM ET,TOR,45.66
SG/SF,Jaylen Brown (27180993),Jaylen Brown,27180993,SG/SF/F/G/UTIL,9200,IND@BOS 03/24/2023 07:00PM ET,BOS,43.66
