Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (27114335),Joel Embiid,27114335,C/UTIL,11400,PHI@IND 03/18/2023 07:00PM ET,PHI,57.89
SF/PF,Jayson Tatum (27114337),Jayson Tatum,27114337,SF/PF/F/UTIL,10700,BOS@UTA 03/18/2023 09:00PM ET,BOS,52.93
PG,Stephen Curry (27114341),Stephen Curry,27114341,PG/G/UTIL,10300,GSW@MEM 03/18/2023 08:00PM ET,GSW,51.05
C,Domantas Sabonis (27114344),Domantas Sabonis,27114344,C/UTIL,10200,SAC@WAS 03/18/2023 08:00PM ET,SAC,48.56
PG,James Harden (27114346),James Harden,27114346,PG/G/UTIL,9800,PHI@IND 03/18/2023 07:00PM ET,PHI,50.3
PG,Tyrese Haliburton (27114349),Tyrese Haliburton,27114349,PG/G/UTIL,9700,PHI@IND 03/18/2023 07:00PM ET,IND,46.24
SF,Lauri Markkanen (27114352),Lauri Markkanen,27114352,SF/F/UTIL,9600,BOS@UTA 03/18/2023 09:00PM ET,UTA,42.52
SG/SF,Anthony Edwards (27114355),Anthony Edwards,27114355,SG/SF/F/G/UTIL,9500,MIN@TOR 03/18/2023 07:00PM ET,MIN,43.22
SG/SF,Jaylen Brown (27114360),Jaylen Brown,27114360,SG/SF/F/G/UTIL,9300,BOS@UTA 03/18/2023 09:00PM ET,BOS,43.75
PG,Ja Morant (27114365),Ja Morant,27114365,PG/G/UTIL,9200,GSW@MEM 03/18/2023 08:00PM ET,MEM,49.55
PF/C,Kristaps Porzingis (27114368),Kristaps Porzingis,27114368,PF/C/F/UTIL,8900,SAC@WAS 03/18/2023 08:00PM ET,WAS,42.68
PG,Fred VanVleet (27114380),Fred VanVleet,27114380,PG/G/UTIL,8800,MIN@TOR 03/18/2023 07:00PM ET,TOR,40.56
SG/SF,Zach LaVine (27114375),Zach LaVine,27114375,SG/SF/F/G/UTIL,8700,MIA@CHI 03/18/2023 08:00PM ET,CHI,39.54
PG,De'Aaron Fox (27114372),De'Aaron Fox,27114372,PG/G/UTIL,8700,SAC@WAS 03/18/2023 08:00PM ET,SAC,42.88
SG,Bradley Beal (27114383),Bradley Beal,27114383,SG/G/UTIL,8600,SAC@WAS 03/18/2023 08:00PM ET,WAS,39.18
SF,Jimmy Butler (27114390),Jimmy Butler,27114390,SF/F/UTIL,8500,MIA@CHI 03/18/2023 08:00PM ET,MIA,42.05
PF/C,Pascal Siakam (27114386),Pascal Siakam,27114386,PF/C/F/UTIL,8500,MIN@TOR 03/18/2023 07:00PM ET,TOR,45.44
C,Karl-Anthony Towns (27114393),Karl-Anthony Towns,27114393,C/UTIL,8400,MIN@TOR 03/18/2023 07:00PM ET,MIN,41.71
SF/PF,DeMar DeRozan (27114395),DeMar DeRozan,27114395,SF/PF/F/UTIL,8300,MIA@CHI 03/18/2023 08:00PM ET,CHI,41.29
